datetime
2000-01-01 12:00:00
2000-01-08 12:00:00
2000-01-15 12:00:00
2000-01-22 12:00:00
2000-01-29 12:00:00
2000-02-05 12:00:00
2000-02-12 12:00:00
2000-02-19 12:00:00
2000-02-26 12:00:00
2000-03-04 12:00:00
2000-03-11 12:00:00
2000-03-18 12:00:00
2000-03-25 12:00:00
2000-04-01 12:00:00
2000-04-08 12:00:00
2000-04-15 12:00:00
2000-04-22 12:00:00
2000-04-29 12:00:00
2000-05-06 12:00:00
2000-05-13 12:00:00
2000-05-20 12:00:00
2000-05-27 12:00:00
2000-06-03 12:00:00
2000-06-10 12:00:00
2000-06-17 12:00:00
2000-06-24 12:00:00
2000-07-01 12:00:00
2000-07-08 12:00:00
2000-07-15 12:00:00
2000-07-22 12:00:00
2000-07-29 12:00:00
2000-08-05 12:00:00
2000-08-12 12:00:00
2000-08-19 12:00:00
2000-08-26 12:00:00
2000-09-02 12:00:00
2000-09-09 12:00:00
2000-09-16 12:00:00
2000-09-23 12:00:00
2000-09-30 12:00:00
2000-10-07 12:00:00
2000-10-14 12:00:00
2000-10-21 12:00:00
2000-10-28 12:00:00
2000-11-04 12:00:00
2000-11-11 12:00:00
2000-11-18 12:00:00
2000-11-25 12:00:00
2000-12-02 12:00:00
2000-12-09 12:00:00
2000-12-16 12:00:00
2000-12-23 12:00:00
2000-12-30 12:00:00
2001-01-06 12:00:00
2001-01-13 12:00:00
2001-01-20 12:00:00
2001-01-27 12:00:00
2001-02-03 12:00:00
2001-02-10 12:00:00
2001-02-17 12:00:00
2001-02-24 12:00:00
2001-03-03 12:00:00
2001-03-10 12:00:00
2001-03-17 12:00:00
2001-03-24 12:00:00
2001-03-31 12:00:00
2001-04-07 12:00:00
2001-04-14 12:00:00
2001-04-21 12:00:00
2001-04-28 12:00:00
2001-05-05 12:00:00
2001-05-12 12:00:00
2001-05-19 12:00:00
2001-05-26 12:00:00
2001-06-02 12:00:00
2001-06-09 12:00:00
2001-06-16 12:00:00
2001-06-23 12:00:00
2001-06-30 12:00:00
2001-07-07 12:00:00
2001-07-14 12:00:00
2001-07-21 12:00:00
2001-07-28 12:00:00
2001-08-04 12:00:00
2001-08-11 12:00:00
2001-08-18 12:00:00
2001-08-25 12:00:00
2001-09-01 12:00:00
2001-09-08 12:00:00
2001-09-15 12:00:00
2001-09-22 12:00:00
2001-09-29 12:00:00
2001-10-06 12:00:00
2001-10-13 12:00:00
2001-10-20 12:00:00
2001-10-27 12:00:00
2001-11-03 12:00:00
2001-11-10 12:00:00
2001-11-17 12:00:00
2001-11-24 12:00:00
2001-12-01 12:00:00
2001-12-08 12:00:00
2001-12-15 12:00:00
2001-12-22 12:00:00
2001-12-29 12:00:00
2002-01-05 12:00:00
2002-01-12 12:00:00
